Address,Lat,Long,Easting,Northing
Ne1 4lp,54.979753,-1.618109,424540,565083
OX2 9DU,51.747222,-1.295748,448717,205626
co5 4jl,51.828816,0.741084,588979,218019
lL57 2pw,53.20902,-4.159825,255857,370172
PE3 9GZ,52.58394,-0.279473,516668,299849
ll13 7td,53.046173,-3.01018,332375,350355
Colchester,51.895927,0.891874,599071,225883
DH1 5TW,54.788899,-1.592928,426275,543854
NE1,54.975335,-1.610048,425059,564594
ST16 3SA,52.811318,-2.097741,393509,323757
Se5,51.475561,-0.090865,532684,176906
EH16 4SA,55.921929,-3.135095,329162,670453
G51 4tf,55.863978,-4.337575,253808,665892
James Paget Hospitals NHS trust,52.561594,1.718396,652122,302470
SP2 7FD,51.071623,-1.809908,413415,130272
B15 2WB,52.449823,-1.942145,404029,283542
se5,51.475561,-0.090865,532684,176906
E11BB,51.519026,-0.058075,534833,181799
mk65ld,52.026383,-0.735795,486835,237195
BD20,53.916528,-1.954953,403056,446710
G81 4DY,55.90646,-4.420003,248816,670796
BS10 5NB,51.497333,-2.592949,358935,177766
St46qg,53.004021,-2.214872,385678,345211
LA14 4LF,54.136395,-3.207884,321180,471846
nn16 8uz,52.402783,-0.741293,485731,279053
LL13 7TD,53.046173,-3.01018,332375,350355
NE1 4LP,54.979753,-1.618109,424540,565083
Ca2 7hy,54.895745,-2.955295,338830,556085
GL1 3NN,51.86639,-2.231042,384188,218671
SK2 7JE,53.383787,-2.13202,391316,387446
SO16,50.951678,-1.411727,441419,117080
bh7 7dw,50.747482,-1.820505,412760,94224
NE2,54.986345,-1.610706,425010,565819
cv34 5bw,52.28995,-1.583215,428525,265839
SE1 9RT,51.504642,-0.08899,532730,180143
B18 7qh,52.489821,-1.929427,404889,287992
S60 2UD,53.414411,-1.342573,443795,391046
B4 6NH,52.485175,-1.89446,407264,287478
SP2,51.070827,-1.84765,410771,130177
NG7 2UH,52.943439,-1.1858,454811,338760
M60 9ah,53.492188,-2.245686,383797,399526
BL0 0QH,53.66883,-2.31001,379615,419195
different sites souteast London,51.507351,-0.127758,530032,180375
RG1 5AN,51.451402,-0.958645,472458,173005
Bn213qj,50.769417,0.281022,560943,99128
RG24 9NA,51.280615,-1.109875,462180,153873
BL5 3UB,53.550458,-2.508554,366403,406101
NR6 5BE,52.659532,1.250872,619952,311828
b15 2th,52.453272,-1.936283,404427,283926
l9 7al,53.467918,-2.935131,338020,397204
TN2 4QJ,51.149149,0.307262,561472,141407
nr4 7uy,52.618086,1.221067,618143,307129
Bn21 2ud,50.786969,0.271107,560184,101058
BA21 4AT,50.945297,-2.633907,355562,116398
Wa10idh,FAILED,FAILED,FAILED,FAILED
bs23 4tq,51.322335,-2.971399,332406,158584
ol1 6rj,53.564277,-2.090646,394094,407522
ME8 0QG,51.355978,0.59855,581029,165083
S022 6PS,FAILED,FAILED,FAILED,FAILED
EN5 3DJ,51.65099,-0.215544,523550,196196
BS34 6BQ,51.529421,-2.554876,361605,181314
Se5 8az,51.468739,-0.09144,532664,176146
B71 4HJ,52.527357,-1.987884,400919,292165
WA2 8WA,53.428349,-2.608441,359669,392568
CF14 4XW,51.506764,-3.18936,317551,179318
EX2 5DW,50.716712,-3.50668,293730,91869
BT16 1RH,54.595705,-5.816549,153563,528977
SE1,51.499207,-0.088006,532814,179540
OL6 9RW,53.491862,-2.071555,395350,399464
pl68dh,50.41672,-4.113684,249930,59563
RH1 5RH,51.218607,-0.161288,528510,148207
RH2 8HS,51.227466,-0.209474,525121,149109
s10 2th,53.380548,-1.491231,433941,387198
so22 5dg,51.061375,-1.330959,446982,129328
RH15RH,51.218607,-0.161288,528510,148207
la9 7rg,54.306703,-2.732552,352432,490370
RH1,51.231701,-0.127901,530804,149722
CV2 2DX,52.421424,-1.443503,437942,280527
Bt23 4as,54.593456,-5.705768,160702,528344
ST46QG,53.004021,-2.214872,385678,345211
CV2 2DX,52.421424,-1.443503,437942,280527
CV2 2DX,52.421424,-1.443503,437942,280527
CV2,52.432411,-1.445105,437824,281748
Ls1 3ex,53.801445,-1.551743,429621,433998
RH1 5RH,51.218607,-0.161288,528510,148207
Dn33,53.536476,-0.094733,526367,406113
CV2 2DX,52.421424,-1.443503,437942,280527
cv2 2dx,52.421424,-1.443503,437942,280527
Cv2 2dx,52.421424,-1.443503,437942,280527
G42 9TY,55.827434,-4.267474,258061,661680
Cv10 7jd,52.512322,-1.480932,435324,290619
BT161RH,54.595705,-5.816549,153563,528977
rm7 0ag,51.568622,0.178914,551110,187777
TR1 3LJ,50.266686,-5.09145,179782,45318
RH1 5RH ,51.218607,-0.161288,528510,148207
CV2 2DX,52.421424,-1.443503,437942,280527
BN21 3QJ,50.769417,0.281022,560943,99128
s10 2th,53.380548,-1.491231,433941,387198
co3 3nb,51.887073,0.889135,598922,224891
nottingham,52.954783,-1.158109,456657,340043
RH1 5RH,51.218607,-0.161288,528510,148207
RG1 5AN,51.451402,-0.958645,472458,173005
LS1 6AE,53.795321,-1.543733,430153,433320
So15 7qw,50.928014,-1.422999,440648,114443
RG1 5AN,51.451402,-0.958645,472458,173005
gu2 7xx,51.241025,-0.607462,497304,150015
NE29 8NH,55.025722,-1.466348,434214,570262
pr8 6pn,53.633665,-2.978431,335399,415682
AB25 2ZN,57.154977,-2.136122,391864,807131
S10 3TH,53.364494,-1.537481,430876,385391
Se13 6lf,51.457212,-0.005853,538643,175023
ST16 3SR,52.810589,-2.109088,392744,323677
CF37 3BW,51.620887,-3.328676,308113,192176
RH1 5RH,51.218607,-0.161288,528510,148207
GU2 7XX,51.241025,-0.607462,497304,150015
GU2 7XX,51.241025,-0.607462,497304,150015
GU27XX,51.241025,-0.607462,497304,150015
ls13ex,53.801445,-1.551743,429621,433998
GU2 7xx,51.241025,-0.607462,497304,150015
WV10 0QP,52.597726,-2.095949,393598,299997
S75 5AE,53.585852,-1.525552,431506,410023
SW36NP,51.489743,-0.170855,527090,178341
se1 9rt,51.504642,-0.08899,532730,180143
GL53 7AN,51.89319,-2.071812,395155,221629
E9 6SR,51.550634,-0.046099,535570,185336
